CleanName,INorEX,label,Method,replicateID,timepoint,nM
adenosine_5_monophosphate,EX,32B,AN,B,32,5.668614725
adenosine_5_monophosphate,EX,24A,AN,A,24,0.547191814
adenosine_5_monophosphate,EX,24B,AN,B,24,4.750364035
adenosine_5_monophosphate,EX,24C,AN,C,24,2.683977492
adenosine_5_monophosphate,EX,16A,AN,A,16,3.844708439
adenosine_5_monophosphate,EX,16C,AN,C,16,5.335446557
adenosine_5_monophosphate,EX,16B,AN,B,16,4.561065566
adenosine_5_monophosphate,EX,22C,AN,C,22,4.347170869
adenosine_5_monophosphate,EX,22B,AN,B,22,4.596526355
adenosine_5_monophosphate,EX,22A,AN,A,22,2.775398166
adenosine_5_monophosphate,EX,2C,AN,C,2,2.259927127
adenosine_5_monophosphate,EX,2A,AN,A,2,1.921148303
adenosine_5_monophosphate,EX,2B,AN,B,2,2.544167125
adenosine_5_monophosphate,EX,46B,AN,B,46,8.271018097
adenosine_5_monophosphate,EX,46A,AN,A,46,7.082670086
adenosine_5_monophosphate,EX,46C,AN,C,46,6.802191078
adenosine_5_monophosphate,EX,34B,AN,B,34,6.341917959
adenosine_5_monophosphate,EX,34A,AN,A,34,5.433770747
adenosine_5_monophosphate,EX,34C,AN,C,34,8.335275344
adenosine_5_monophosphate,EX,44B,AN,B,44,6.876616166
adenosine_5_monophosphate,EX,44A,AN,A,44,5.553109852
adenosine_5_monophosphate,EX,44C,AN,C,44,6.370959027
adenosine_5_monophosphate,EX,8C,AN,C,8,3.852905026
adenosine_5_monophosphate,EX,8B,AN,B,8,3.019362375
adenosine_5_monophosphate,EX,8A,AN,A,8,1.71442902
adenosine_5_monophosphate,EX,12B,AN,B,12,3.487264643
adenosine_5_monophosphate,EX,12A,AN,A,12,3.591689295
adenosine_5_monophosphate,EX,12C,AN,C,12,5.322325508
adenosine_5_monophosphate,EX,6A,AN,A,6,1.737445013
adenosine_5_monophosphate,EX,6C,AN,C,6,2.930476214
adenosine_5_monophosphate,EX,6B,AN,B,6,0.821051951
adenosine_5_monophosphate,EX,0A,AN,A,0,0.046891553
adenosine_5_monophosphate,EX,0C,AN,C,0,2.340349266
adenosine_5_monophosphate,EX,0B,AN,B,0,2.680350647
adenosine_5_monophosphate,EX,20C,AN,C,20,4.371337244
adenosine_5_monophosphate,EX,20B,AN,B,20,2.521901486
adenosine_5_monophosphate,EX,20A,AN,A,20,4.471567944
adenosine_5_monophosphate,EX,38B,AN,B,38,8.01493903
adenosine_5_monophosphate,EX,38A,AN,A,38,6.788947899
adenosine_5_monophosphate,EX,38C,AN,C,38,7.583790759
adenosine_5_monophosphate,EX,42C,AN,C,42,4.776459053
adenosine_5_monophosphate,EX,42A,AN,A,42,4.49186779
adenosine_5_monophosphate,EX,42B,AN,B,42,4.600513437
adenosine_5_monophosphate,EX,14A,AN,A,14,5.784508421
adenosine_5_monophosphate,EX,14B,AN,B,14,3.851180818
adenosine_5_monophosphate,EX,14C,AN,C,14,2.733925096
adenosine_5_monophosphate,EX,10B,AN,B,10,2.904926473
adenosine_5_monophosphate,EX,10C,AN,C,10,1.608760046
adenosine_5_monophosphate,EX,10A,AN,A,10,2.974662023
adenosine_5_monophosphate,EX,26C,AN,C,26,4.523696844
adenosine_5_monophosphate,EX,26B,AN,B,26,5.257246721
adenosine_5_monophosphate,EX,26A,AN,A,26,3.699153637
adenosine_5_monophosphate,EX,18B,AN,B,18,3.142888128
adenosine_5_monophosphate,EX,18A,AN,A,18,1.976106533
adenosine_5_monophosphate,EX,18C,AN,C,18,1.421603651
adenosine_5_monophosphate,EX,36A,AN,A,36,5.577040147
adenosine_5_monophosphate,EX,36B,AN,B,36,15.92171107
adenosine_5_monophosphate,EX,36C,AN,C,36,5.972230216
adenosine_5_monophosphate,EX,30A,AN,A,30,5.907892036
adenosine_5_monophosphate,EX,30C,AN,C,30,4.893823066
adenosine_5_monophosphate,EX,30B,AN,B,30,5.90076429
adenosine_5_monophosphate,EX,40B,AN,B,40,8.097325055
adenosine_5_monophosphate,EX,40C,AN,C,40,8.217121846
adenosine_5_monophosphate,EX,40A,AN,A,40,6.855330461
adenosine_5_monophosphate,EX,28B,AN,B,28,6.643883439
adenosine_5_monophosphate,EX,28A,AN,A,28,4.01311077
adenosine_5_monophosphate,EX,28C,AN,C,28,5.553725487
phosphoenolpyruvate,EX,4A,AN,A,4,0.78260351
phosphoenolpyruvate,EX,4B,AN,B,4,1.667389455
phosphoenolpyruvate,EX,4C,AN,C,4,0.802048603
phosphoenolpyruvate,EX,32C,AN,C,32,2.431210149
phosphoenolpyruvate,EX,32A,AN,A,32,3.575378798
phosphoenolpyruvate,EX,32B,AN,B,32,3.199291616
phosphoenolpyruvate,EX,24A,AN,A,24,4.89342695
phosphoenolpyruvate,EX,24B,AN,B,24,2.434019959
phosphoenolpyruvate,EX,24C,AN,C,24,1.693985497
phosphoenolpyruvate,EX,16A,AN,A,16,1.099795537
phosphoenolpyruvate,EX,16C,AN,C,16,2.95298222
phosphoenolpyruvate,EX,16B,AN,B,16,8.601645791
phosphoenolpyruvate,EX,22C,AN,C,22,1.550858241
phosphoenolpyruvate,EX,22B,AN,B,22,1.834672275
phosphoenolpyruvate,EX,22A,AN,A,22,1.258635312
phosphoenolpyruvate,EX,2C,AN,C,2,0.045180667
phosphoenolpyruvate,EX,2A,AN,A,2,3.636070918
phosphoenolpyruvate,EX,2B,AN,B,2,3.266642289
phosphoenolpyruvate,EX,46B,AN,B,46,2.449060077
phosphoenolpyruvate,EX,46A,AN,A,46,1.540596636
phosphoenolpyruvate,EX,46C,AN,C,46,2.459159924
phosphoenolpyruvate,EX,34B,AN,B,34,3.524948039
phosphoenolpyruvate,EX,34A,AN,A,34,3.122483998
phosphoenolpyruvate,EX,34C,AN,C,34,5.517640035
phosphoenolpyruvate,EX,44B,AN,B,44,2.025224052
phosphoenolpyruvate,EX,44A,AN,A,44,1.286805989
phosphoenolpyruvate,EX,44C,AN,C,44,1.764693812
phosphoenolpyruvate,EX,8C,AN,C,8,2.035470179
phosphoenolpyruvate,EX,8B,AN,B,8,1.942343383
phosphoenolpyruvate,EX,8A,AN,A,8,2.109057824
phosphoenolpyruvate,EX,12B,AN,B,12,13.68201409
phosphoenolpyruvate,EX,12A,AN,A,12,9.544343602
phosphoenolpyruvate,EX,12C,AN,C,12,6.750106256
phosphoenolpyruvate,EX,6A,AN,A,6,6.431247208
phosphoenolpyruvate,EX,6C,AN,C,6,0.045180667
phosphoenolpyruvate,EX,6B,AN,B,6,0.045180667
phosphoenolpyruvate,EX,0A,AN,A,0,0.045180667
phosphoenolpyruvate,EX,0C,AN,C,0,0.946345625
phosphoenolpyruvate,EX,0B,AN,B,0,2.643241725
phosphoenolpyruvate,EX,20C,AN,C,20,1.314596886
phosphoenolpyruvate,EX,20B,AN,B,20,1.195089243
phosphoenolpyruvate,EX,20A,AN,A,20,1.218851768
phosphoenolpyruvate,EX,38B,AN,B,38,3.839427091
phosphoenolpyruvate,EX,38A,AN,A,38,9.995989568
phosphoenolpyruvate,EX,38C,AN,C,38,3.756709679
phosphoenolpyruvate,EX,42C,AN,C,42,1.511191714
phosphoenolpyruvate,EX,42A,AN,A,42,1.774344318
phosphoenolpyruvate,EX,42B,AN,B,42,2.667975519
phosphoenolpyruvate,EX,14A,AN,A,14,3.41243338
phosphoenolpyruvate,EX,14B,AN,B,14,2.865126725
phosphoenolpyruvate,EX,14C,AN,C,14,2.063696798
phosphoenolpyruvate,EX,10B,AN,B,10,4.322040648
phosphoenolpyruvate,EX,10C,AN,C,10,8.66390187
phosphoenolpyruvate,EX,10A,AN,A,10,1.259699995
phosphoenolpyruvate,EX,26C,AN,C,26,2.015577112
phosphoenolpyruvate,EX,26B,AN,B,26,2.164399785
