cycle,iSO595v6,iHS4156
421,1.7781821301e-07,1e-10
422,1.7781821301e-07,1e-10
423,1.7781821301e-07,1e-10
424,1.7781821301e-07,1e-10
425,1.7781821301e-07,1e-10
426,1.7781821301e-07,1e-10
427,1.7781821301e-07,1e-10
428,1.7781821301e-07,1e-10
429,1.7781821301e-07,1e-10
430,1.7781821301e-07,1e-10
431,1.7781821301e-07,1e-10
432,1.7781821301e-07,1e-10
433,1.7781821301e-07,1e-10
434,1.7781821301e-07,1e-10
435,1.7781821301e-07,1e-10
436,1.7781821301e-07,1e-10
437,1.7781821301e-07,1e-10
438,1.7781821301e-07,1e-10
439,1.7781821301e-07,1e-10
440,1.7781821301e-07,1e-10
441,1.7781821301e-07,1e-10
442,1.7781821301e-07,1e-10
443,1.7781821301e-07,1e-10
444,1.7781821301e-07,1e-10
445,1.7781821301e-07,1e-10
446,1.7781821301e-07,1e-10
447,1.7781821301e-07,1e-10
448,1.7781821301e-07,1e-10
449,1.7781821301e-07,1e-10
450,1.7781821301e-07,1e-10
451,1.7781821301e-07,1e-10
452,1.7781821301e-07,1e-10
453,1.7781821301e-07,1e-10
454,1.7781821301e-07,1e-10
455,1.7781821301e-07,1e-10
456,1.7781821301e-07,1e-10
457,1.7781821301e-07,1e-10
458,1.7781821301e-07,1e-10
459,1.7781821301e-07,1e-10
460,1.7781821301e-07,1e-10
461,1.7781821301e-07,1e-10
462,1.7781821301e-07,1e-10
463,1.7781821301e-07,1e-10
464,1.7781821301e-07,1e-10
465,1.7781821301e-07,1e-10
466,1.7781821301e-07,1e-10
467,1.7781821301e-07,1e-10
468,1.7781821301e-07,1e-10
469,1.7781821301e-07,1e-10
470,1.7781821301e-07,1e-10
471,1.7781821301e-07,1e-10
472,1.7781821301e-07,1e-10
473,1.7781821301e-07,1e-10
474,1.7781821301e-07,1e-10
475,1.7781821301e-07,1e-10
476,1.7781821301e-07,1e-10
477,1.7781821301e-07,1e-10
478,1.7781821301e-07,1e-10
479,1.7781821301e-07,1e-10
480,1.7781821301e-07,1e-10
