,w_c,growth_rate,phi_C,phi_E,phi_R,flux_PFK,flux_EDD,flux_glc
50,0.1325885113763902,0.22868954540398245,0.32200824690050117,0.12432666546143777,0.10487722271867703,1.3793120746012755,0.0,2.428628570890197
51,0.14049586776859513,0.219338030039794,0.32801355911246577,0.11985390800455505,0.10328746510676498,1.3250564090040413,0.0,2.3346847442710783
52,0.14871543720028574,0.2103545165889404,0.3337825495842526,0.11555716301601734,0.10176026782011988,1.2729358186295305,0.0,2.2444378059738592
53,0.15725334149576575,0.2017300749762228,0.33932095298960524,0.11143215930993819,0.10029411274595788,1.2228984929256663,0.0,2.157798045892347
54,0.1661157024793389,0.19345503245384035,0.3446349809282736,0.10747427048587246,0.09888735551715286,1.1748883124990355,0.0,2.074668293150303
55,0.17530864197530868,0.1855191452661111,0.3497312110712449,0.10367859765064369,0.09753825469523889,1.1288458450799383,0.0,1.994945640617664
56,0.18483828180797887,0.177911751573002,0.3546164914459745,0.10004004007153765,0.09624499776741036,1.0847092327549661,0.0,1.9185229811558813
57,0.19471074380165293,0.1706219029811328,0.35929785248129553,0.0965533615756998,0.09500572350679258,1.0424149550842443,0.0,1.8452903289574172
58,0.20493214978063465,0.16363848068492393,0.36378243382152897,0.09321324470245396,0.09381854171643707,1.001898502929496,0.0,1.7751359862809828
59,0.2155086215692277,0.1569502952570026,0.3680774213359398,0.09001433733989597,0.09268155019369045,0.9630949574186399,0.0,1.7079475459300941
60,0.22644628099173555,0.15054617090615366,0.3721899918416566,0.08695129419352272,0.09159284905404613,0.9259394787939168,0.0,1.6436127376949066
61,0.2377512498724621,0.1444150170759209,0.3761272674201495,0.08401881073595721,0.09055055290290656,0.8903677218129733,0.0,1.582020147620326
62,0.2494296500357107,0.13854588814026694,0.3798962773121367,0.08121165152893772,0.08955280098384538,0.8563161820915014,0.0,1.5230598176990875
63,0.26148760330578524,0.132928032186366,0.3835039256612177,0.07852467448501117,0.08859776547168223,0.8237224791312884,0.0,1.4666237359357561
64,0.2739312315069891,0.12755093118083013,0.3869569669166649,0.07595284888217983,0.08768365830074112,0.7925255893570016,0.0,1.4126062398503547
65,0.28676665646362615,0.12240451377974605,0.3902619507679032,0.07349127314963393,0.08680876734255683,0.7626655451318228,0.0,1.36090421243728
66,0.3000000000000001,0.11747844762134951,0.3934253455161526,0.07113517718939444,0.08597133609562943,0.7340855332457694,0.0,1.311417818387175
67,0.31363738394041424,0.11276326634634225,0.3964533153409153,0.06887994569297816,0.08516975527887818,0.7067290316171821,0.0,1.2640499367774178
68,0.3276849301091726,0.1082496364010905,0.3993518540136077,0.06672111450028326,0.0844024381881854,0.6805418889080473,0.0,1.218706804370156
69,0.34214876033057856,0.10392855395988522,0.4021267435627398,0.06465437715729463,0.08366785417318048,0.6554718667931659,0.0,1.17529797031622
70,0.35703499642893594,0.09979134961288585,0.4047835512634292,0.06267558715829405,0.0829645294341906,0.6314686671587652,0.0,1.1337363432494694
71,0.3723497602285482,0.0958296898279823,0.4073276286986373,0.06078075864504971,0.08229104727075699,0.6084839405837619,0.0,1.0939382059723086
72,0.38809917355371903,0.09203557572240587,0.4097641125480036,0.05896606581929455,0.081646047872809,0.5864712792130647,0.0,1.055823203115597
73,0.4042893582287523,0.08840133961336087,0.4120979268029462,0.057227841292917525,0.08102822773427135,0.5653861967449265,0.0,1.01931430648683
74,0.42092643607795127,0.08491963975647099,0.41433378614549576,0.05556257357141056,0.08043633875860007,0.5451860979046019,1.8059697069041734e-17,0.9843377622135507
75,0.43801652892562004,0.08158345362649211,0.4164762002632542,0.053966903840086455,0.07986918711650366,0.5258302394603509,0.0,0.9508230232425233
76,0.45556575859606174,0.0783860700460408,0.418529478904123,0.05243762219931904,0.07932563190782693,0.507279684556024,0.0,0.9187026702663625
77,0.4735802469135803,0.07532108042481962,0.4204977375022509,0.050971663474338534,0.07880458367221935,0.48949725188289467,0.0,0.8879123237143461
78,0.49206611570247943,0.07238236933349486,0.42238490323125355,0.04956610270679104,0.07830500278669413,0.4724474609910929,0.0,0.8583905490591479
79,0.5110294867870626,0.06956410460257227,0.4241947213624572,0.04821815041912359,0.07782589778243729,0.4560964748455843,0.0,0.8300787573520431
80,0.5304764819916338,0.06686072710708828,0.42593076182492196,0.046925147728679006,0.07736632360820501,0.44041204055885136,0.0,0.8029211026015652
81,0.550413223140496,0.06426694037194876,0.4275964258806181,0.045684561376023274,0.0769253798632313,0.42536342908337665,0.0,0.7768643773506723
82,0.5708458320579535,0.06177770011033105,0.429194952842606,0.044493978721247704,0.07650220901875629,0.4109213745155502,0.0,0.7518579075813121
