rxn03141_c0 | No BiGG ID | Bounds: [0.0, 1000.0] | UDP_N_acetylmuramoyl_L_alanyl_D_glutamyl_L_lysine_alanyl_D_alanine_c0 | -1.0 ATP_c0 + -1.0 Ala_Ala_c0 + -1.0 UDP_N_acetylmuramoyl_L_alanyl_gamma_D_glutamyl_L_lysine_c0 + 1.0 ADP_c0 + 1.0 Phosphate_c0 + 1.0 H_plus__c0 + 1.0 UDPMurAcoyl_L_Ala_D_gamma_Glu_L_Lys_D_Ala_D_Ala_c0
rxn06865_c0 | No BiGG ID | Bounds: [0.0, 1000.0] | R05146_c0 | -1.0 kdo2_lipid_iva_c0 + -1.0 Dodecanoyl_ACP_c0 + 1.0 Lauroyl_KDO2_lipid_IVA_c0 + 1.0 ACP_c0
rxn07580_c0 | No BiGG ID | Bounds: [0.0, 1000.0] | octanoyl_acp_protein_N6_octanoyltransferase_c0 | -1.0 Octanoyl_ACP_c0 + -1.0 Apoprotein_c0 + 1.0 H_plus__c0 + 1.0 ACP_c0 + 1.0 Protein_N6_octanoyllysine_c0
rxn00577_c0 | No BiGG ID | Bounds: [-1000.0, 1000.0] | sucrose_phosphate_alpha_D_glucosyltransferase_c0 | -1.0 Phosphate_c0 + -1.0 Sucrose_c0 + 1.0 D_Fructose_c0 + 1.0 Glucose_1_phosphate_c0
rxn01434_c0 | No BiGG ID | Bounds: [0.0, 1000.0] | L_Citrulline_L_aspartate_ligase_AMP_forming_c0 | -1.0 ATP_c0 + -1.0 L_Aspartate_c0 + -1.0 Citrulline_c0 + 1.0 PPi_c0 + 1.0 AMP_c0 + 2.0 H_plus__c0 + 1.0 L_Argininosuccinate_c0
rxn03068_c0 | No BiGG ID | Bounds: [-1000.0, 1000.0] | R_2_3_Dihydroxy_3_methylbutanoate_NADP_plus__oxidoreductase_isomerizing_c0 | -1.0 NADP_c0 + -1.0 2_3_Dihydroxy_isovalerate_c0 + 1.0 NADPH_c0 + 1.0 H_plus__c0 + 1.0 2_Oxo_3_hydroxyisovalerate_c0
rxn07432_c0 | No BiGG ID | Bounds: [0.0, 1000.0] | R07601_c0 | -1.0 TPP_c0 + -1.0 H_plus__c0 + -1.0 4MOP_c0 + 1.0 CO2_c0 + 1.0 3_Methyl_1_hydroxybutyl_TPP_c0
rxn09345_c0 | No BiGG ID | Bounds: [0.0, 1000.0] | Undecaprenyl_diphosphate_synthase_c0 | -8.0 Isopentenyldiphosphate_c0 + -1.0 Farnesyldiphosphate_c0 + 8.0 PPi_c0 + 8.0 H_plus__c0 + 1.0 Bactoprenyl_diphosphate_c0
rxn01171_c0 | No BiGG ID | Bounds: [-1000.0, 1000.0] | D_glucose_1_epimerase_c0 | -1.0 D_Glucose_c0 + 1.0 beta_D_Glucose_c0
rxn00840_c0 | No BiGG ID | Bounds: [-1000.0, 1000.0] | dATP_pyruvate_2_O_phosphotransferase_c0 | -1.0 Pyruvate_c0 + -1.0 dATP_c0 + 1.0 Phosphoenolpyruvate_c0 + 1.0 H_plus__c0 + 1.0 dADP_c0
rxn02517_c0 | No BiGG ID | Bounds: [-1000.0, 1000.0] | ATP_dIDP_phosphotransferase_c0 | -1.0 ATP_c0 + -1.0 dIDP_c0 + 1.0 ADP_c0 + 1.0 dITP_c0
rxn00302_c0 | No BiGG ID | Bounds: [0.0, 1000.0] | GTP_8_9_hydrolase_c0 | -1.0 H2O_c0 + -1.0 GTP_c0 + 1.0 Formamidopyrimidine_nucleoside_triphosphate_c0
rxn03130_c0 | No BiGG ID | Bounds: [0.0, 1000.0] | UDP_2_3_bis3R_3_hydroxymyristoyl_alpha_D_glucosamine_2_3_bis3R_3_hydroxymyristoyl_beta_D_glucosaminyl_1_phosphate_phosphohydrolase_c0 | -1.0 H2O_c0 + -1.0 UDP_2_3_bis3_hydroxytetradecanoylglucosamine_c0 + 2.0 H_plus__c0 + 1.0 UMP_c0 + 1.0 Lipid_X_c0
rxn02186_c0 | No BiGG ID | Bounds: [-1000.0, 1000.0] | 2_3_Dihydroxy_3_methylbutanoate_NADP_plus__oxidoreductase_isomerizing_c0 | -1.0 NADPH_c0 + -1.0 H_plus__c0 + -1.0 ALCTT_c0 + 1.0 NADP_c0 + 1.0 2_3_Dihydroxy_isovalerate_c0
rxn02409_c0 | No BiGG ID | Bounds: [-1000.0, 1000.0] | R06099_c0 | -1.0 H2O_c0 + -1.0 LacCer_c0 + 1.0 beta_D_Galactose_c0 + 1.0 Glucocerebroside_c0
rxn03194_c0 | No BiGG ID | Bounds: [-1000.0, 1000.0] | S_2_Aceto_2_hydroxybutanoate_pyruvate_lyase_carboxylating_c0 | -1.0 2_Oxobutyrate_c0 + -1.0 2_Hydroxyethyl_ThPP_c0 + 1.0 TPP_c0 + 1.0 2_Aceto_2_hydroxybutanoate_c0
rxn11663_c0 | No BiGG ID | Bounds: [0.0, 1000.0] | 4_phosphonooxythreonine_NAD_oxidoreductase_c0 | -1.0 NAD_c0 + -1.0 4_Phosphonooxy_threonine_c0 + 1.0 NADH_c0 + 1.0 CO2_c0 + 1.0 3_Amino_2_oxopropyl_phosphate_c0
