Reactions	DRAM	Prokka	RASTtk	Intersection	2+ Annotations	Priority List	Majority Rule	Union	Bayesian Pangenome Core
rxn19764	0	1	0	0	0	0	0	1	0
rxn00175	1	1	1	1	1	1	1	1	0
rxn10234	0	1	0	0	1	0	1	1	0
rxn01424	0	1	0	0	0	0	0	1	0
rxn08820	0	1	0	0	1	1	1	1	0
rxn03638	1	0	1	0	0	1	1	1	0
rxn01225	1	1	1	1	1	1	1	1	0
rxn02404	1	1	1	1	1	1	1	1	0
rxn04938	0	1	0	0	1	0	0	1	0
rxn05383	0	0	0	0	0	0	0	1	0
rxn02689	0	0	0	0	0	0	0	0	1
rxn02737	0	0	0	0	0	1	1	1	0
rxn06647	0	1	0	0	0	1	1	1	1
rxn00097	1	1	1	1	1	1	1	1	0
rxn08386	0	1	0	0	0	0	0	1	0
rxn03141	1	1	1	1	1	1	1	1	1
rxn07693	0	0	0	0	0	0	0	0	1
rxn08213	0	0	0	0	0	1	1	1	0
rxn00208	1	1	1	1	1	1	1	1	0
rxn05682	0	0	0	0	0	1	1	1	0
rxn00139	1	1	1	1	1	1	1	1	0
rxn02015	0	0	0	0	0	0	1	1	0
rxn02264	1	0	1	0	1	1	1	1	0
rxn04732	0	0	0	0	0	0	0	0	1
rxn07260	0	0	0	0	0	0	0	0	1
rxn05872	0	1	0	0	1	1	1	1	0
rxn01641	0	0	0	0	0	0	1	1	0
rxn04350	0	0	0	0	0	0	0	0	1
rxn00558	1	1	1	1	1	1	1	1	0
rxn05484	0	0	0	0	0	1	1	1	0
rxn01285	0	0	0	0	0	0	1	1	0
rxn03323	0	0	0	0	0	0	0	1	0
EX_cpd00654	0	0	0	0	0	2	2	2	0
rxn27397	0	1	0	0	0	0	0	1	0
rxn00420	1	0	1	0	1	1	1	1	0
rxn05326	1	1	1	0	1	1	1	1	0
rxn08309	0	1	0	0	1	0	1	1	0
rxn25636	0	1	0	0	0	1	1	1	0
rxn42230	0	1	0	0	0	0	0	1	0
rxn06112	1	1	1	0	1	1	1	1	1
rxn01648	1	0	1	0	0	0	0	1	0
rxn03091	0	0	0	0	0	1	1	1	0
rxn01219	1	1	1	1	1	1	1	1	0
rxn01446	0	1	0	0	0	0	0	1	0
rxn15338	1	0	1	0	0	0	0	1	0
rxn01739	1	1	1	1	1	1	1	1	0
rxn03373	1	1	1	0	1	0	1	1	1
rxn05369	0	0	0	0	0	0	0	1	0
rxn02192	1	0	1	0	0	1	1	1	1
rxn00295	0	1	0	0	1	1	1	1	0
rxn10212	0	1	0	0	1	1	1	1	0
rxn14245	0	1	0	0	0	0	0	1	0
rxn01510	1	1	1	0	1	0	0	1	0
rxn03863	0	0	0	0	0	0	0	0	1
rxn01304	1	1	1	1	1	1	1	1	0
rxn08812	0	1	0	0	1	1	1	1	0
rxn05683	0	0	0	0	0	1	1	1	0
rxn02175	1	1	1	1	1	1	1	1	0
rxn00206	0	1	0	0	1	1	1	1	0
rxn05249	0	1	0	0	1	1	1	1	0
rxn09991	1	0	1	0	0	0	0	1	0
rxn00758	1	1	1	1	1	1	1	1	0
rxn05035	1	0	1	0	0	0	0	1	1
rxn03269	0	1	0	0	1	0	0	1	0
rxn05324	1	1	1	0	1	1	1	1	0
rxn04862	0	0	0	0	0	0	0	0	1
rxn03512	0	0	0	0	0	0	0	1	0
rxn02914	1	1	1	1	1	1	1	1	0
rxn04357	0	0	0	0	0	0	0	0	1
