cycle,COBRAModel,iHS4156
342,1.7647447913e-07,1e-07
343,1.766856014e-07,1e-07
344,1.7687939446e-07,1e-07
345,1.7705561803e-07,1e-07
346,1.7721404538e-07,1e-07
347,1.7735446345e-07,1e-07
348,1.7747667316e-07,1e-07
349,1.7758048952e-07,1e-07
350,1.7766574183e-07,1e-07
351,1.7773227386e-07,1e-07
352,1.7777994579e-07,1e-07
353,1.7780862817e-07,1e-07
354,1.7781821815e-07,1e-07
355,1.7781821815e-07,1e-07
356,1.7781821815e-07,1e-07
357,1.7781821815e-07,1e-07
358,1.7781821815e-07,1e-07
359,1.7781821815e-07,1e-07
360,1.7781821815e-07,1e-07
361,1.7781821815e-07,1e-07
362,1.7781821815e-07,1e-07
363,1.7781821815e-07,1e-07
364,1.7781821815e-07,1e-07
365,1.7781821815e-07,1e-07
366,1.7781821815e-07,1e-07
367,1.7781821815e-07,1e-07
368,1.7781821815e-07,1e-07
369,1.7781821815e-07,1e-07
370,1.7781821815e-07,1e-07
371,1.7781821815e-07,1e-07
372,1.7781821815e-07,1e-07
373,1.7781821815e-07,1e-07
374,1.7781821815e-07,1e-07
375,1.7781821815e-07,1e-07
376,1.7781821815e-07,1e-07
377,1.7781821815e-07,1e-07
378,1.7781821815e-07,1e-07
379,1.7781821815e-07,1e-07
380,1.7781821815e-07,1e-07
381,1.7781821815e-07,1e-07
382,1.7781821815e-07,1e-07
383,1.7781821815e-07,1e-07
384,1.7781821815e-07,1e-07
385,1.7781821815e-07,1e-07
386,1.7781821815e-07,1e-07
387,1.7781821815e-07,1e-07
388,1.7781821815e-07,1e-07
389,1.7781821815e-07,1e-07
390,1.7781821815e-07,1e-07
391,1.7781821815e-07,1e-07
392,1.7781821815e-07,1e-07
393,1.7781821815e-07,1e-07
394,1.7781821815e-07,1e-07
395,1.7781821815e-07,1e-07
396,1.7781821815e-07,1e-07
397,1.7781821815e-07,1e-07
398,1.7781821815e-07,1e-07
399,1.7781821815e-07,1e-07
400,1.7781821815e-07,1e-07
401,1.7781821815e-07,1e-07
402,1.7781821815e-07,1e-07
403,1.7781821815e-07,1e-07
404,1.7781821815e-07,1e-07
405,1.7781821815e-07,1e-07
406,1.7781821815e-07,1e-07
407,1.7781821815e-07,1e-07
408,1.7781821815e-07,1e-07
409,1.7781821815e-07,1e-07
410,1.7781821815e-07,1e-07
411,1.7781821815e-07,1e-07
412,1.7781821815e-07,1e-07
413,1.7781821815e-07,1e-07
