ids,growth,status,essential_in_model,locus_tag_from_mut_lib
TK37_RS15995,0.924397132993812,optimal,False,MIT1002_01943
TK37_RS15625,1.0101810363924182,optimal,False,MIT1002_00380
TK37_RS04950,0.4603218273606217,optimal,False,MIT1002_04115
TK37_RS07135,1.0101810363924393,optimal,False,MIT1002_01447
TK37_RS00395,1.0101810363924684,optimal,False,MIT1002_03929
TK37_RS06600,2.544660254569904e-16,optimal,True,MIT1002_03587
TK37_RS13060,0.0,optimal,True,MIT1002_01061
TK37_RS05730,0.0,optimal,True,MIT1002_02753
TK37_RS18875,1.0101810363924495,optimal,False,MIT1002_01529
TK37_RS15780,1.0101810363924684,optimal,False,MIT1002_02091
TK37_RS02750,1.0101810363924684,optimal,False,MIT1002_01002
TK37_RS11050,1.0101810363924684,optimal,False,MIT1002_02397
TK37_RS14220,1.0101810363924684,optimal,False,MIT1002_00492
TK37_RS03640,1.0101810363924684,optimal,False,MIT1002_00779
TK37_RS17005,1.0101810363924684,optimal,False,MIT1002_01735
TK37_RS06635,2.544660254569904e-16,optimal,True,MIT1002_03595
TK37_RS14575,1.0101810363924435,optimal,False,MIT1002_00553
TK37_RS07380,1.010181036392449,optimal,False,MIT1002_02513
TK37_RS15570,0.0,optimal,True,MIT1002_00391
TK37_RS03560,0.0,optimal,True,MIT1002_02983
TK37_RS02180,1.0101810363924506,optimal,False,MIT1002_01379
TK37_RS11830,1.010181036392449,optimal,False,
TK37_RS04405,1.010181036392449,optimal,False,MIT1002_02009
TK37_RS15275,1.010181036392449,optimal,False,MIT1002_00578
TK37_RS17520,1.010181036392449,optimal,False,MIT1002_01572
TK37_RS19095,3.771340476309004e-16,optimal,True,MIT1002_03723
TK37_RS18525,-6.05261703241631e-29,optimal,True,MIT1002_02788
TK37_RS11020,1.0101810363924393,optimal,False,MIT1002_02403
TK37_RS00085,1.010181036392449,optimal,False,MIT1002_03991
TK37_RS04845,3.771340476309004e-16,optimal,True,MIT1002_00004
TK37_RS18625,1.0101810363924453,optimal,False,MIT1002_03343
TK37_RS10915,-2.7920144658320007e-16,optimal,True,MIT1002_00094
TK37_RS02480,0.0,optimal,True,MIT1002_00948
TK37_RS14335,0.0,optimal,True,MIT1002_00469
TK37_RS18815,1.0101810363924422,optimal,False,MIT1002_01542
TK37_RS03465,0.9323778883381244,optimal,False,MIT1002_03002
TK37_RS08380,1.0101810363924777,optimal,False,MIT1002_00753
TK37_RS01080,1.0101810363924404,optimal,False,MIT1002_03791
TK37_RS16140,2.205018251458165e-16,optimal,True,MIT1002_02634
TK37_RS06490,0.8686599273260858,optimal,False,MIT1002_01825
TK37_RS01765,1.0101810363924617,optimal,False,MIT1002_01297
TK37_RS11005,1.0101810363924473,optimal,False,MIT1002_02406
TK37_RS02175,1.0101810363924473,optimal,False,MIT1002_01378
TK37_RS12630,1.0101810363924473,optimal,False,MIT1002_02825
TK37_RS01375,0.0,optimal,True,MIT1002_01216
TK37_RS14350,1.0101810363926271,optimal,False,MIT1002_00466
TK37_RS15735,1.0101810363924448,optimal,False,MIT1002_02100
TK37_RS16295,-2.9782433364546053e-16,optimal,True,MIT1002_02195
TK37_RS15550,0.0,optimal,True,MIT1002_00395
TK37_RS06630,0.0,optimal,True,MIT1002_03594
TK37_RS03720,1.0101810363924408,optimal,False,MIT1002_00795
TK37_RS02210,1.0101810363924408,optimal,False,MIT1002_01385
TK37_RS02830,1.0101810363924408,optimal,False,MIT1002_01019
TK37_RS04545,1.0101810363924408,optimal,False,MIT1002_02038
TK37_RS12170,-5.175157255922345e-16,optimal,True,MIT1002_01930
TK37_RS14285,1.0101810363924428,optimal,False,MIT1002_00479
TK37_RS07120,1.010181036388809,optimal,False,MIT1002_01450
TK37_RS02545,1.0101810363924415,optimal,False,MIT1002_00961
TK37_RS01430,-7.282706334795994e-16,optimal,True,MIT1002_01229
TK37_RS06620,0.0,optimal,True,MIT1002_03592
TK37_RS18065,1.0101810363924475,optimal,False,MIT1002_02232
TK37_RS07410,1.0101810363924486,optimal,False,MIT1002_02507
TK37_RS12770,3.8576297934187123e-16,optimal,True,MIT1002_02797
TK37_RS08605,1.010181036392447,optimal,False,MIT1002_00154
TK37_RS17990,-6.018025668285419e-17,optimal,True,MIT1002_01518
TK37_RS03415,-2.559007736475566e-12,optimal,True,MIT1002_03012
TK37_RS12805,2.7771426012907693e-13,optimal,True,MIT1002_01114
TK37_RS02040,0.0,optimal,True,MIT1002_01352
TK37_RS19375,0.0,optimal,True,MIT1002_03665
TK37_RS03330,1.0101810363924455,optimal,False,MIT1002_03029
TK37_RS13230,1.0101810363924395,optimal,False,MIT1002_03154
TK37_RS05630,1.0101810363924395,optimal,False,MIT1002_01678
TK37_RS04095,1.0101810363924395,optimal,False,MIT1002_00871
TK37_RS06900,1.0101810363924395,optimal,False,
TK37_RS14525,1.0101810363924395,optimal,False,MIT1002_00543
TK37_RS16875,-3.3132047332084026e-17,optimal,True,MIT1002_03431
TK37_RS06640,0.0,optimal,True,MIT1002_03596
TK37_RS06735,1.9270683550796338e-29,optimal,True,MIT1002_03615
TK37_RS17695,1.0101810363924502,optimal,False,MIT1002_03340
TK37_RS12505,1.0101810363924455,optimal,False,
TK37_RS16985,1.0101810363924455,optimal,False,MIT1002_01731
TK37_RS09195,1.0101810363924455,optimal,False,MIT1002_02349
TK37_RS06495,2.65054093009308e-14,optimal,True,MIT1002_01826
TK37_RS05020,1.010181036392435,optimal,False,MIT1002_04101
TK37_RS04315,0.950569952059422,optimal,False,MIT1002_01991
TK37_RS00755,1.010181036392439,optimal,False,MIT1002_03857
TK37_RS04630,1.0101784851697455,optimal,False,MIT1002_02055
TK37_RS12790,6.453798395097368e-16,optimal,True,MIT1002_02793
TK37_RS10875,1.0101810363924475,optimal,False,MIT1002_00086
TK37_RS17750,1.0101810363924488,optimal,False,MIT1002_01591
TK37_RS15775,1.0101810363924475,optimal,False,MIT1002_02092
TK37_RS02835,5.886553934013238e-17,optimal,True,MIT1002_01020
TK37_RS14240,1.009183313946733,optimal,False,MIT1002_00488
TK37_RS08990,1.0101810363924328,optimal,False,MIT1002_02889
TK37_RS10770,1.0101810363924442,optimal,False,MIT1002_00065
TK37_RS02190,1.0101810363924442,optimal,False,MIT1002_01381
TK37_RS10830,1.0101810363924442,optimal,False,MIT1002_00077
TK37_RS11430,1.0101810363924442,optimal,False,MIT1002_01149
TK37_RS15730,1.0101810363924442,optimal,False,MIT1002_02101
