id	name	equation	equation_with_names	lower_bound	upper_bound	gene_reaction_rule	subsystem
rxn08073_c0	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide amidase (periplasm) [c0]	cpd00001_c0 + cpd15397_c0 <=> cpd15386_c0 + cpd15396_c0	H2O + N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide <=> L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate + N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid	-1000.0	1000.0	WP_049586083.1 or (WP_049585701.1 and WP_049588105.1)	
rxn03843_c0	Farnesyl diphosphate:Isopentenyl diphosphate farnesyl cistransferase [c0]	cpd00113_c0 + cpd00350_c0 --> cpd00012_c0 + cpd00067_c0 + cpd08211_c0	Isopentenyldiphosphate + Farnesyldiphosphate --> PPi + H+ + trans,trans,cis-Geranylgeranyl diphosphate	0.0	1000.0	WP_080986374.1	
rxn01123_c0	ATP:2-dehydro-3-deoxy-D-gluconate 6-phosphotransferase [c0]	cpd00002_c0 + cpd00176_c0 --> cpd00008_c0 + cpd00067_c0 + cpd02711_c0	ATP + 2-keto-3-deoxygluconate --> ADP + H+ + 2-Keto-3-deoxy-6-phosphogluconate	0.0	1000.0	WP_049589015.1 and WP_049588496.1	
rxn08557_c0	glycerol-3-phosphate dehydrogenase (menaquinone-8) [c0]	cpd00080_c0 + cpd15500_c0 --> cpd00095_c0 + cpd15499_c0	Glycerol-3-phosphate + Menaquinone 8 --> Glycerone-phosphate + Menaquinol 8	0.0	1000.0	WP_049588435.1	
rxn02317_c0	ITP:D-Tagatose 6-phosphate 1-phosphotransferase [c0]	cpd00068_c0 + cpd00805_c0 <=> cpd00067_c0 + cpd00090_c0 + cpd02371_c0	ITP + D-Tagatose 6-phosphate <=> H+ + IDP + D-Tagatose 1,6-biphosphate	-1000.0	1000.0	WP_049586246.1	
rxn01116_c0	D-Ribulose-5-phosphate 3-epimerase [c0]	cpd00171_c0 <=> cpd00198_c0	D-Ribulose5-phosphate <=> D-Xylulose5-phosphate	-1000.0	1000.0	WP_049588788.1	
rxn02811_c0	3-Isopropylmalate hydro-lyase [c0]	cpd02693_c0 <=> cpd00001_c0 + cpd01710_c0	3-Isopropylmalate <=> H2O + 2-Isopropylmaleate	-1000.0	1000.0	WP_049585948.1 and WP_049585947.1	
rxn03062_c0	3-Isopropylmalate:NAD+ oxidoreductase [c0]	cpd00003_c0 + cpd02693_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd02605_c0	NAD + 3-Isopropylmalate <=> NADH + H+ + 2-isopropyl-3-oxosuccinate	-1000.0	1000.0	WP_049585949.1	
rxn00236_c0	GDP phosphohydrolase [c0]	cpd00001_c0 + cpd00031_c0 --> cpd00009_c0 + 2.0 cpd00067_c0 + cpd00126_c0	H2O + GDP --> Phosphate + 2.0 H+ + GMP	0.0	1000.0	WP_049588315.1	
rxn10258_c0	isohexadecanoyl-Diacylglycerol kinase [c0]	cpd00002_c0 + cpd15706_c0 --> cpd00008_c0 + cpd15682_c0	ATP + 1,2-di-14-methylpentadecanoylglycerol --> ADP + 1,2-di-14-methylpentadecanoyl-sn-glycerol-3-phosphate	0.0	1000.0	WP_015066029.1 and WP_014976618.1	
rxn08847_c0	Lysophospholipase L2 (2-acylglycerophosphoglycerol, n-C14:1) [c0]	cpd00001_c0 + cpd15345_c0 --> cpd00067_c0 + cpd02090_c0 + cpd15298_c0	H2O + 2-(7Z)-tetradecenoyl-sn-glycero-3-phosphoglycerol --> H+ + Glycerophosphoglycerol + (7Z)-Tetradecenoate [c0]	0.0	1000.0	(WP_049585859.1 and WP_039227930.1) or WP_039231048.1	
rxn00868_c0	Butanoyl-CoA:(acceptor) 2,3-oxidoreductase [c0]	cpd00004_c0 + cpd00067_c0 + cpd00650_c0 --> cpd00003_c0 + cpd00120_c0	NADH + H+ + Crotonyl-CoA --> NAD + Butyryl-CoA	0.0	1000.0	WP_049586958.1	
rxn00670_c0	propanoyl-CoA:phosphate propanoyltransferase [c0]	cpd00009_c0 + cpd00086_c0 <=> cpd00010_c0 + cpd01844_c0	Phosphate + Propionyl-CoA <=> CoA + Propionyl phosphate	-1000.0	1000.0	WP_049586784.1	
rxn00863_c0	L-histidinal:NAD+ oxidoreductase [c0]	cpd00001_c0 + cpd00003_c0 + cpd01324_c0 --> cpd00004_c0 + 2.0 cpd00067_c0 + cpd00119_c0	H2O + NAD + L-Histidinal --> NADH + 2.0 H+ + L-Histidine	0.0	1000.0	WP_049588648.1	
rxn09113_c0	Phosphatidylglycerol synthase (n-C18:0) [c0]	cpd00080_c0 + cpd15421_c0 <=> cpd00046_c0 + cpd15547_c0	Glycerol-3-phosphate + CDP-1,2-dioctadecanoylglycerol <=> CMP + Phosphatidylglycerophosphate dioctadecanoyl	-1000.0	1000.0	WP_049588224.1	
rxn00711_c0	UMP:diphosphate phospho-alpha-D-ribosyltransferase [c0]	cpd00092_c0 + cpd00103_c0 --> cpd00012_c0 + cpd00067_c0 + cpd00091_c0	Uracil + PRPP --> PPi + H+ + UMP	0.0	1000.0	WP_014950265.1	
rxn08299_c0	diacylglycerol kinase (n-C18:0) [c0]	cpd00002_c0 + cpd15311_c0 --> cpd00008_c0 + cpd15526_c0	ATP + 1,2-dioctadecanoylglycerol --> ADP + 1,2-dioctadecanoyl-sn-glycerol 3-phosphate	0.0	1000.0	WP_015066029.1 and WP_014976618.1	
rxn02402_c0	Nicotinate-nucleotide:pyrophosphate phosphoribosyltransferase (carboxylating) [c0]	cpd00067_c0 + cpd00103_c0 + cpd02333_c0 --> cpd00011_c0 + cpd00012_c0 + cpd00873_c0	H+ + PRPP + Quinolinate --> CO2 + PPi + Nicotinate ribonucleotide	0.0	1000.0	WP_049586081.1	
rxn05465_c0	Malonyl-CoA:[acyl-carrier-protein] S-malonyltransferase [c0]	cpd00070_c0 + cpd11493_c0 <=> cpd00010_c0 + cpd11492_c0	Malonyl-CoA + ACP <=> CoA + Malonyl-ACP	-1000.0	1000.0	WP_012518211.1 and WP_049588745.1	
rxn08820_c0	Lysophospholipase L2 (2-acylglycerophosphotidate, n-C16:0) [c0]	cpd00001_c0 + cpd15355_c0 <=> 2.0 cpd00067_c0 + cpd00080_c0 + cpd00214_c0	H2O + 2-hexadecanoyl-sn-glycerol 3-phosphate <=> 2.0 H+ + Glycerol-3-phosphate + Hexadecanoate	-1000.0	1000.0	(WP_049585859.1 and WP_039227930.1) or WP_039231048.1	
rxn05148_c0	Heme transport via ABC system [c0]	cpd00001_c0 + cpd00002_c0 + cpd00028_c0 --> cpd00008_c0 + cpd00009_c0 + cpd00028_e0 + cpd00067_c0	H2O + ATP + Heme --> ADP + Phosphate + Heme [e0] + H+	0.0	1000.0	(WP_014975830.1 and WP_049585959.1 and WP_049585958.1 and WP_049585960.1) or (WP_049585645.1 and WP_049585643.1)	
rxn05494_c0	D-alanine transport via proton symport [c0]	cpd00067_e0 + cpd00117_e0 <=> cpd00067_c0 + cpd00117_c0	H+ [e0] + D-Alanine [e0] <=> H+ + D-Alanine	-1000.0	1000.0	WP_014949007.1	
rxn03976_c0	reduced-riboflavin:NADP+ oxidoreductase [c0]	cpd00006_c0 + cpd00739_c0 <=> cpd00005_c0 + 2.0 cpd00067_c0 + cpd00220_c0	NADP + Reduced riboflavin <=> NADPH + 2.0 H+ + Riboflavin	-1000.0	1000.0	WP_049586742.1	
rxn05347_c0	Acyl-[acyl-carrier-protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating) [c0]	cpd00067_c0 + cpd11492_c0 + cpd11494_c0 --> cpd00011_c0 + cpd11488_c0 + cpd11493_c0	H+ + Malonyl-ACP + Acetyl-ACP --> CO2 + Acetoacetyl-ACP + ACP	0.0	1000.0	WP_014949212.1 or WP_014949953.1 or WP_049588746.1	
rxn00145_c0	(S)-Lactate:ferricytochrome-c 2-oxidoreductase [c0]	2.0 cpd00109_c0 + cpd00159_c0 --> cpd00020_c0 + 2.0 cpd00067_c0 + 2.0 cpd00110_c0	2.0 Cytochrome c3+ + L-Lactate --> Pyruvate + 2.0 H+ + 2.0 Cytochrome c2+	0.0	1000.0	WP_015068029.1 or WP_049588512.1	
rxn08126_c0	Amylomaltase (maltotriose) [c0]	cpd00179_c0 + cpd01262_c0 <=> cpd00027_c0 + cpd01399_c0	Maltose + Amylotriose <=> D-Glucose + Maltotetraose	-1000.0	1000.0	WP_049587596.1	
rxn03407_c0	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine:ammonia ligase (ADP-forming) [c0]	cpd00002_c0 + cpd00013_c0 + cpd03491_c0 --> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd03492_c0	ATP + NH3 + Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine --> ADP + Phosphate + H+ + Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-D-alanyl-D-alanine	0.0	1000.0	WP_014980177.1	
rxn08547_c0	glycerol-3-phosphate acyltransferase (C14:0) [c0]	cpd00080_c0 + cpd11466_c0 --> cpd11493_c0 + cpd15331_c0	Glycerol-3-phosphate + Tetradecanoyl-ACP --> ACP + 1-tetradecanoyl-sn-glycerol 3-phosphate	0.0	1000.0	WP_014951390.1	
rxn01303_c0	Acetyl-CoA:L-homoserine O-acetyltransferase [c0]	cpd00022_c0 + cpd00227_c0 --> cpd00010_c0 + cpd00790_c0	Acetyl-CoA + L-Homoserine --> CoA + O-Acetyl-L-homoserine	0.0	1000.0	WP_049586806.1	
rxn00113_c0	Carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating) [c0]	cpd00001_c0 + 2.0 cpd00002_c0 + cpd00011_c0 + cpd00013_c0 --> 2.0 cpd00008_c0 + cpd00009_c0 + 3.0 cpd00067_c0 + cpd00146_c0	H2O + 2.0 ATP + CO2 + NH3 --> 2.0 ADP + Phosphate + 3.0 H+ + Carbamoylphosphate	0.0	1000.0	WP_049585953.1	
rxn00137_c0	Adenosine 3',5'-bisphosphate 3'-phosphohydrolase [c0]	cpd00001_c0 + cpd00045_c0 --> cpd00009_c0 + cpd00018_c0	H2O + Adenosine 3-5-bisphosphate --> Phosphate + AMP	0.0	1000.0	WP_049585840.1 and WP_014951323.1	
rxn00745_c0	Phosphoenolpyruvate:glycerone phosphotransferase [c0]	cpd00061_c0 + cpd00157_c0 --> cpd00020_c0 + cpd00095_c0	Phosphoenolpyruvate + Glycerone --> Pyruvate + Glycerone-phosphate	0.0	1000.0	WP_014948339.1	
rxn06023_c0	CoA:apo-[acyl-carrier-protein] pantetheinephosphotransferase [c0]	cpd00010_c0 + cpd12370_c0 <=> cpd00045_c0 + cpd00067_c0 + cpd11493_c0	CoA + apo-ACP <=> Adenosine 3-5-bisphosphate + H+ + ACP	-1000.0	1000.0	WP_049586135.1	
rxn05566_c0	D-galactose transport in via proton symport [c0]	cpd00067_e0 + cpd00108_e0 <=> cpd00067_c0 + cpd00108_c0	H+ [e0] + Galactose [e0] <=> H+ + Galactose	-1000.0	1000.0	WP_049588118.1	
rxn00611_c0	sn-Glycerol-3-phosphate:NAD+ 2-oxidoreductase [c0]	cpd00003_c0 + cpd00080_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd00095_c0	NAD + Glycerol-3-phosphate <=> NADH + H+ + Glycerone-phosphate	-1000.0	1000.0	WP_049588317.1	
rxn35550_c0	R07604 [c0]	cpd14702_c0 + cpd14954_c0 <=> cpd00056_c0 + cpd03045_c0	2-Methyl-1-hydroxybutyl-TPP + Protein N6-(lipoyl)lysine [c0] <=> TPP + S-(3-methylbutanoyl)-dihydrolipoamide	-1000.0	1000.0	WP_049586269.1 and WP_049586267.1	
