modelseed_id,kegg_id,equation,gene_id,ec_numbers,already_in_model,name,rxn_def,rev_dir
rxn00184,R00248,(1) H2O[0] + (1) NADP[0] + (1) L-Glutamate[0] <=> (1) NADPH[0] + (1) NH3[0] + (1) 2-Oxoglutarate[0] + (1) H+[0],WP_049587790.1,1.4.1.4;1.4.1.3,yes,L-Glutamate:NADP+ oxidoreductase (deaminating),"-1:cpd00001:0:0:""H2O"";-1:cpd00006:0:0:""NADP"";-1:cpd00023:0:0:""L-Glutamate"";1:cpd00005:0:0:""NADPH"";1:cpd00013:0:0:""NH3"";1:cpd00024:0:0:""2-Oxoglutarate"";1:cpd00067:0:0:""H+""",=
rxn00189,R00256,(1) H2O[0] + (1) L-Glutamine[0] => (1) NH3[0] + (1) L-Glutamate[0],VTP54195.1;WP_049585995.1,3.5.1.2;3.5.1.38;6.3.5.4;6.3.5.5,yes,L-Glutamine amidohydrolase,"-1:cpd00001:0:0:""H2O"";-1:cpd00053:0:0:""L-Glutamine"";1:cpd00013:0:0:""NH3"";1:cpd00023:0:0:""L-Glutamate""",>
rxn00191,R00258,(1) 2-Oxoglutarate[0] + (1) L-Alanine[0] <=> (1) Pyruvate[0] + (1) L-Glutamate[0],WP_049587271.1,2.6.1.2,yes,L-Alanine:2-oxoglutarate aminotransferase,"-1:cpd00024:0:0:""2-Oxoglutarate"";-1:cpd00035:0:0:""L-Alanine"";1:cpd00020:0:0:""Pyruvate"";1:cpd00023:0:0:""L-Glutamate""",=
rxn00194,R00261,(1) L-Glutamate[0] + (1) H+[0] => (1) CO2[0] + (1) GABA[0],WP_014977595.1,4.1.1.15,yes,L-glutamate 1-carboxy-lyase (4-aminobutanoate-forming),"-1:cpd00023:0:0:""L-Glutamate"";-1:cpd00067:0:0:""H+"";1:cpd00011:0:0:""CO2"";1:cpd00281:0:0:""GABA""",>
rxn00196,R00264,"(1) H2O[0] + (1) NADP[0] + (1) 2,5-Dioxopentanoate[0] <=> (1) NADPH[0] + (1) 2-Oxoglutarate[0] + (2) H+[0]",WP_049588591.1;WP_014950281.1,1.2.1.26;1.2.1.3,no,"2,5-dioxopentanoate:NADP+ 5-oxidoreductase","-1:cpd00001:0:0:""H2O"";-1:cpd00006:0:0:""NADP"";-1:cpd00340:0:0:""2,5-Dioxopentanoate"";1:cpd00005:0:0:""NADPH"";1:cpd00024:0:0:""2-Oxoglutarate"";2:cpd00067:0:0:""H+""",=
,R002740,,WP_049586025.1,5.3.1.9,no,,,
rxn00214,R00291,(1) UDP-glucose[0] <=> (1) UDP-galactose[0],WP_014978530.1;VTP51053.1,5.1.3.2,yes,UDP-glucose 4-epimerase,"-1:cpd00026:0:0:""UDP-glucose"";1:cpd00043:0:0:""UDP-galactose""",=
rxn00222,R00306,(1) H2O[0] + (1) CELB[0] => (2) D-Glucose[0],WP_049586389.1;WP_049585652.1;WP_049585649.1,3.2.1.21;3.2.1.74,yes,cellobiose glucohydrolase,"-1:cpd00001:0:0:""H2O"";-1:cpd00158:0:0:""CELB"";2:cpd00027:0:0:""D-Glucose""",=
rxn00225,R00315,(1) ATP[0] + (1) Acetate[0] <=> (1) ADP[0] + (1) Acetylphosphate[0],WP_049586785.1,2.7.2.1;2.7.2.15,yes,ATP:acetate phosphotransferase,"-1:cpd00002:0:0:""ATP"";-1:cpd00029:0:0:""Acetate"";1:cpd00008:0:0:""ADP"";1:cpd00196:0:0:""Acetylphosphate""",=
rxn00247,R00341,(1) ATP[0] + (1) Oxaloacetate[0] => (1) ADP[0] + (1) CO2[0] + (1) Phosphoenolpyruvate[0],WP_049585467.1,4.1.1.49,yes,ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming),"-1:cpd00002:0:0:""ATP"";-1:cpd00032:0:0:""Oxaloacetate"";1:cpd00008:0:0:""ADP"";1:cpd00011:0:0:""CO2"";1:cpd00061:0:0:""Phosphoenolpyruvate""",=
rxn00248,R00342,(1) NAD[0] + (1) L-Malate[0] <=> (1) NADH[0] + (1) Oxaloacetate[0] + (1) H+[0],WP_014950802.1,1.1.1.37;1.1.1.299,yes,(S)-malate:NAD+ oxidoreductase,"-1:cpd00003:0:0:""NAD"";-1:cpd00130:0:0:""L-Malate"";1:cpd00004:0:0:""NADH"";1:cpd00032:0:0:""Oxaloacetate"";1:cpd00067:0:0:""H+""",=
rxn00256,R00351,(1) CoA[0] + (1) H+[0] + (1) Citrate[0] <= (1) H2O[0] + (1) Acetyl-CoA[0] + (1) Oxaloacetate[0],WP_014949444.1,2.3.3.1;2.3.3.16;2.3.3.3;4.1.3.7,yes,acetyl-CoA:oxaloacetate C-acetyltransferase (thioester-hydrolysing),"-1:cpd00010:0:0:""CoA"";-1:cpd00067:0:0:""H+"";-1:cpd00137:0:0:""Citrate"";1:cpd00001:0:0:""H2O"";1:cpd00022:0:0:""Acetyl-CoA"";1:cpd00032:0:0:""Oxaloacetate""",<
rxn00260,R00355,(1) 2-Oxoglutarate[0] + (1) L-Aspartate[0] <=> (1) L-Glutamate[0] + (1) Oxaloacetate[0],WP_049587271.1;WP_014949721.1,2.6.1.1,yes,L-Aspartate:2-oxoglutarate aminotransferase,"-1:cpd00024:0:0:""2-Oxoglutarate"";-1:cpd00041:0:0:""L-Aspartate"";1:cpd00023:0:0:""L-Glutamate"";1:cpd00032:0:0:""Oxaloacetate""",=
rxn00262,R00357,(1) H2O[0] + (1) O2[0] + (1) L-Aspartate[0] => (1) NH3[0] + (1) H2O2[0] + (1) Oxaloacetate[0],WP_014976996.1,1.4.3.16;1.4.3.2,yes,L-Aspartic acid:oxygen oxidoreductase (deaminating),"-1:cpd00001:0:0:""H2O"";-1:cpd00007:0:0:""O2"";-1:cpd00041:0:0:""L-Aspartate"";1:cpd00013:0:0:""NH3"";1:cpd00025:0:0:""H2O2"";1:cpd00032:0:0:""Oxaloacetate""",>
rxn00272,R00369,(1) L-Alanine[0] + (1) Glyoxalate[0] <=> (1) Pyruvate[0] + (1) Glycine[0],VTP52648.1;WP_049588781.1,2.6.1.44,yes,L-Alanine:glyoxylate aminotransferase,"-1:cpd00035:0:0:""L-Alanine"";-1:cpd00040:0:0:""Glyoxalate"";1:cpd00020:0:0:""Pyruvate"";1:cpd00033:0:0:""Glycine""",=
rxn00274,R00371,(1) Acetyl-CoA[0] + (1) Glycine[0] <=> (1) CoA[0] + (1) L-2-Amino-acetoacetate[0],WP_014977894.1,2.3.1.29,yes,Acetyl-CoA:glycine C-acetyltransferase,"-1:cpd00022:0:0:""Acetyl-CoA"";-1:cpd00033:0:0:""Glycine"";1:cpd00010:0:0:""CoA"";1:cpd02211:0:0:""L-2-Amino-acetoacetate""",=
rxn00275,R00372,(1) 2-Oxoglutarate[0] + (1) Glycine[0] <=> (1) L-Glutamate[0] + (1) Glyoxalate[0],WP_049588781.1;VTP52648.1,2.6.1.44,no,Glycine:2-oxoglutarate aminotransferase,"-1:cpd00024:0:0:""2-Oxoglutarate"";-1:cpd00033:0:0:""Glycine"";1:cpd00023:0:0:""L-Glutamate"";1:cpd00040:0:0:""Glyoxalate""",=
rxn00285,R00405,(1) ATP[0] + (1) CoA[0] + (1) Succinate[0] <=> (1) ADP[0] + (1) Phosphate[0] + (1) Succinyl-CoA[0],WP_012518366.1;WP_014949450.1,6.2.1.5,yes,Succinate:CoA ligase (ADP-forming),"-1:cpd00002:0:0:""ATP"";-1:cpd00010:0:0:""CoA"";-1:cpd00036:0:0:""Succinate"";1:cpd00008:0:0:""ADP"";1:cpd00009:0:0:""Phosphate"";1:cpd00078:0:0:""Succinyl-CoA""",=
rxn00289,R00409,(1) Methylisocitrate[0] <=> (1) Pyruvate[0] + (1) Succinate[0],WP_049588089.1,4.1.3.30,yes,"(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate pyruvate-lyase (succinate-forming)","-1:cpd02799:0:0:""Methylisocitrate"";1:cpd00020:0:0:""Pyruvate"";1:cpd00036:0:0:""Succinate""",=
rxn00291,R00411,(1) H2O[0] + (1) N-Succinyl-L-glutamate[0] <=> (1) L-Glutamate[0] + (1) Succinate[0],WP_049588976.1,3.5.1.96,yes,N-succinyl-L-glutamate amidohydrolase,"-1:cpd00001:0:0:""H2O"";-1:cpd03525:0:0:""N-Succinyl-L-glutamate"";1:cpd00023:0:0:""L-Glutamate"";1:cpd00036:0:0:""Succinate""",=
rxn00309,R00446,(1) H2O[0] + (1) NAD[0] + (1) L-Lysine[0] <=> (1) NADH[0] + (1) NH3[0] + (1) H+[0] + (1) Allysine[0],WP_049585722.1,1.4.1.18,no,L-Lysine:NAD+ 6-oxidoreductase (deaminating),"-1:cpd00001:0:0:""H2O"";-1:cpd00003:0:0:""NAD"";-1:cpd00039:0:0:""L-Lysine"";1:cpd00004:0:0:""NADH"";1:cpd00013:0:0:""NH3"";1:cpd00067:0:0:""H+"";1:cpd01046:0:0:""Allysine""",=
rxn00317,R00457,(1) 2-Oxoglutarate[0] + (1) L-Lysine[0] <=> (1) L-Glutamate[0] + (1) 2-Aminoadipate 6-semialdehyde[0],WP_197047972.1,2.6.1.36,no,L-Lysine:2-oxoglutarate 6-aminotransferase,"-1:cpd00024:0:0:""2-Oxoglutarate"";-1:cpd00039:0:0:""L-Lysine"";1:cpd00023:0:0:""L-Glutamate"";1:cpd02522:0:0:""2-Aminoadipate 6-semialdehyde""",?
rxn00320,R00460,(1) L-Lysine[0] <=> (1) D-Lysine[0],WP_080760048.1;WP_049588368.1,5.1.1.10;5.1.1.5;5.1.1.9,no,lysine racemase,"-1:cpd00039:0:0:""L-Lysine"";1:cpd00549:0:0:""D-Lysine""",=
rxn00322,R00462,(1) L-Lysine[0] + (1) H+[0] => (1) CO2[0] + (1) Cadaverine[0],WP_049587155.1,4.1.1.18,no,L-lysine carboxy-lyase (cadaverine-forming),"-1:cpd00039:0:0:""L-Lysine"";-1:cpd00067:0:0:""H+"";1:cpd00011:0:0:""CO2"";1:cpd01155:0:0:""Cadaverine""",>
rxn00324,R00465,(1) NADP[0] + (1) Glycolate[0] <=> (1) NADPH[0] + (1) Glyoxalate[0] + (1) H+[0],WP_049586098.1;WP_039227754.1,1.1.1.79;1.1.1.26,no,glycolate:NADP+ oxidoreductase,"-1:cpd00006:0:0:""NADP"";-1:cpd00139:0:0:""Glycolate"";1:cpd00005:0:0:""NADPH"";1:cpd00040:0:0:""Glyoxalate"";1:cpd00067:0:0:""H+""",=
rxn00327,R00469,(1) H2O[0] + (2) H+[0] + (1) Ureidoglycolate[0] => (1) CO2[0] + (2) NH3[0] + (1) Glyoxalate[0],WP_049588841.1,3.5.1.116;3.5.3.19,no,(S)-ureidoglycolate amidohydrolase (decarboxylating),"-1:cpd00001:0:0:""H2O"";-2:cpd00067:0:0:""H+"";-1:cpd00465:0:0:""Ureidoglycolate"";1:cpd00011:0:0:""CO2"";2:cpd00013:0:0:""NH3"";1:cpd00040:0:0:""Glyoxalate""",>
rxn00328,R00470,(1) 4-Hydroxy-2-oxoglutarate[0] <=> (1) Pyruvate[0] + (1) Glyoxalate[0],WP_014949660.1,4.1.3.16;4.1.3.42,yes,4-hydroxy-2-oxoglutarate glyoxylate-lyase (pyruvate-forming),"-1:cpd00830:0:0:""4-Hydroxy-2-oxoglutarate"";1:cpd00020:0:0:""Pyruvate"";1:cpd00040:0:0:""Glyoxalate""",=
rxn00330,R00472,(1) CoA[0] + (1) H+[0] + (1) L-Malate[0] <= (1) H2O[0] + (1) Acetyl-CoA[0] + (1) Glyoxalate[0],WP_049587987.1,2.3.3.9;4.1.3.2,yes,"acetyl-CoA:glyoxylate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming)","-1:cpd00010:0:0:""CoA"";-1:cpd00067:0:0:""H+"";-1:cpd00130:0:0:""L-Malate"";1:cpd00001:0:0:""H2O"";1:cpd00022:0:0:""Acetyl-CoA"";1:cpd00040:0:0:""Glyoxalate""",<
rxn00336,R00479,(1) Isocitrate[0] <=> (1) Succinate[0] + (1) Glyoxalate[0],WP_049587992.1,4.1.3.1,yes,isocitrate glyoxylate-lyase (succinate-forming),"-1:cpd00260:0:0:""Isocitrate"";1:cpd00036:0:0:""Succinate"";1:cpd00040:0:0:""Glyoxalate""",=
rxn00342,R00485,(1) H2O[0] + (1) L-Asparagine[0] => (1) NH3[0] + (1) L-Aspartate[0],WP_049586533.1;WP_014976407.1,3.5.1.1;3.5.1.38,yes,L-Asparagine amidohydrolase,"-1:cpd00001:0:0:""H2O"";-1:cpd00132:0:0:""L-Asparagine"";1:cpd00013:0:0:""NH3"";1:cpd00041:0:0:""L-Aspartate""",>
rxn00347,R00490,(1) L-Aspartate[0] <=> (1) NH3[0] + (1) Fumarate[0],WP_049588132.1,4.3.1.1;3.5.1.38,no,L-Aspartate ammonia-lyase,"-1:cpd00041:0:0:""L-Aspartate"";1:cpd00013:0:0:""NH3"";1:cpd00106:0:0:""Fumarate""",=
rxn00348,R00491,(1) L-Aspartate[0] <=> (1) D-Aspartate[0],WP_080760048.1,5.1.1.13,no,aspartate racemase,"-1:cpd00041:0:0:""L-Aspartate"";1:cpd00320:0:0:""D-Aspartate""",=
rxn00377,R00527,(1) H2O[0] + (1) S-Formylglutathione[0] => (1) GSH[0] + (1) Formate[0] + (1) H+[0],WP_049588737.1,3.1.2.12,yes,S-Formylglutathione hydrolase,"-1:cpd00001:0:0:""H2O"";-1:cpd00759:0:0:""S-Formylglutathione"";1:cpd00042:0:0:""GSH"";1:cpd00047:0:0:""Formate"";1:cpd00067:0:0:""H+""",=
rxn00441,R00621,(1) 2-Oxoglutarate[0] + (1) TPP[0] + (1) H+[0] => (1) CO2[0] + (1) 3-Carboxy-1-hydroxypropyl-ThPP[0],WP_049588626.1,1.2.4.2,yes,R00621,"-1:cpd00024:0:0:""2-Oxoglutarate"";-1:cpd00056:0:0:""TPP"";-1:cpd00067:0:0:""H+"";1:cpd00011:0:0:""CO2"";1:cpd03189:0:0:""3-Carboxy-1-hydroxypropyl-ThPP""",>
rxn00459,R00658,(1) 2-Phospho-D-glycerate[0] <=> (1) H2O[0] + (1) Phosphoenolpyruvate[0],WP_049585952.1,4.2.1.11,yes,2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming),"-1:cpd00482:0:0:""2-Phospho-D-glycerate"";1:cpd00001:0:0:""H2O"";1:cpd00061:0:0:""Phosphoenolpyruvate""",=
rxn00467,R00667,(1) 2-Oxoglutarate[0] + (1) Ornithine[0] <=> (1) L-Glutamate[0] + (1) L-Glutamate5-semialdehyde[0],WP_049588781.1,2.6.1.13,no,L-Ornithine:2-oxo-acid aminotransferase,"-1:cpd00024:0:0:""2-Oxoglutarate"";-1:cpd00064:0:0:""Ornithine"";1:cpd00023:0:0:""L-Glutamate"";1:cpd00858:0:0:""L-Glutamate5-semialdehyde""",=
rxn00470,R00670,(1) Ornithine[0] + (1) H+[0] => (1) CO2[0] + (1) Putrescine[0],WP_039226879.1,4.1.1.17,no,L-ornithine carboxy-lyase (putrescine-forming),"-1:cpd00064:0:0:""Ornithine"";-1:cpd00067:0:0:""H+"";1:cpd00011:0:0:""CO2"";1:cpd00118:0:0:""Putrescine""",>
rxn00478,R00678,(1) O2[0] + (1) L-Tryptophan[0] => (1) N-Formylkynurenine[0],WP_049587680.1,1.13.11.11;1.13.11.52,yes,"L-tryptophan:oxygen 2,3-oxidoreductase (decyclizing)","-1:cpd00007:0:0:""O2"";-1:cpd00065:0:0:""L-Tryptophan"";1:cpd01749:0:0:""N-Formylkynurenine""",>
rxn00495,R00697,(1) L-Phenylalanine[0] => (1) NH3[0] + (1) (E)-Cinnamate[0],WP_049589036.1,4.3.1.24;4.3.1.25;4.3.1.5,no,L-phenylalanine ammonia-lyase (trans-cinnamate-forming),"-1:cpd00066:0:0:""L-Phenylalanine"";1:cpd00013:0:0:""NH3"";1:cpd00333:0:0:""(E)-Cinnamate""",>
rxn00500,R00704,(1) NAD[0] + (1) D-Lactate[0] <=> (1) NADH[0] + (1) Pyruvate[0] + (1) H+[0],WP_049586233.1,1.1.1.28,yes,(R)-Lactate:NAD+ oxidoreductase,"-1:cpd00003:0:0:""NAD"";-1:cpd00221:0:0:""D-Lactate"";1:cpd00004:0:0:""NADH"";1:cpd00020:0:0:""Pyruvate"";1:cpd00067:0:0:""H+""",=
rxn00501,R00705,(1) NAD[0] + (1) CoA[0] + (1) 3-Oxopropanoate[0] => (1) NADH[0] + (1) CO2[0] + (1) Acetyl-CoA[0],WP_020744244.1,1.2.1.18;1.2.1.27,yes,"3-Oxopropanoate:NAD+ oxidoreductase (decarboxylating, CoA-acetylating)","-1:cpd00003:0:0:""NAD"";-1:cpd00010:0:0:""CoA"";-1:cpd00191:0:0:""3-Oxopropanoate"";1:cpd00004:0:0:""NADH"";1:cpd00011:0:0:""CO2"";1:cpd00022:0:0:""Acetyl-CoA""",=
rxn00503,R00707,(2) H2O[0] + (1) NAD[0] + (1) 1-Pyrroline-5-carboxylate[0] <=> (1) NADH[0] + (1) L-Glutamate[0] + (1) H+[0],WP_014950684.1;WP_049587341.1,1.2.1.88;1.5.1.12,no,(S)-1-pyrroline-5-carboxylate:NAD+ oxidoreductase,"-2:cpd00001:0:0:""H2O"";-1:cpd00003:0:0:""NAD"";-1:cpd02431:0:0:""1-Pyrroline-5-carboxylate"";1:cpd00004:0:0:""NADH"";1:cpd00023:0:0:""L-Glutamate"";1:cpd00067:0:0:""H+""",=
rxn00505,R00709,(1) NAD[0] + (1) Isocitrate[0] => (1) NADH[0] + (1) CO2[0] + (1) 2-Oxoglutarate[0],WP_014948534.1,1.1.1.41;1.1.1.286,no,Isocitrate:NAD+ oxidoreductase (decarboxylating),"-1:cpd00003:0:0:""NAD"";-1:cpd00260:0:0:""Isocitrate"";1:cpd00004:0:0:""NADH"";1:cpd00011:0:0:""CO2"";1:cpd00024:0:0:""2-Oxoglutarate""",>
rxn00507,R00711,(1) H2O[0] + (1) NADP[0] + (1) Acetaldehyde[0] => (1) NADPH[0] + (1) Acetate[0] + (2) H+[0],WP_014950684.1;WP_049587341.1,1.2.1.4;1.2.1.3;1.2.1.5,yes,Acetaldehyde:NADP+ oxidoreductase,"-1:cpd00001:0:0:""H2O"";-1:cpd00006:0:0:""NADP"";-1:cpd00071:0:0:""Acetaldehyde"";1:cpd00005:0:0:""NADPH"";1:cpd00029:0:0:""Acetate"";2:cpd00067:0:0:""H+""",=
rxn00509,R00714,(1) H2O[0] + (1) NADP[0] + (1) 4-Oxobutanoate[0] <=> (1) NADPH[0] + (1) Succinate[0] + (2) H+[0],WP_049585438.1,1.2.1.79;1.2.1.79;1.2.1.16,no,Succinate-semialdehyde:NADP+ oxidoreductase,"-1:cpd00001:0:0:""H2O"";-1:cpd00006:0:0:""NADP"";-1:cpd00199:0:0:""4-Oxobutanoate"";1:cpd00005:0:0:""NADPH"";1:cpd00036:0:0:""Succinate"";2:cpd00067:0:0:""H+""",=
,R00714/R00713,,WP_049585438.1,1.2.1.16,no,,,
rxn00512,R00717,(1) NAD[0] + (1) Glycolate[0] <=> (1) NADH[0] + (1) Glyoxalate[0] + (1) H+[0],WP_049586436.1;WP_049586233.1,1.1.1.29;1.1.1.26;1.1.99.14,no,Glycolate:NAD+ oxidoreductase,"-1:cpd00003:0:0:""NAD"";-1:cpd00139:0:0:""Glycolate"";1:cpd00004:0:0:""NADH"";1:cpd00040:0:0:""Glyoxalate"";1:cpd00067:0:0:""H+""",=
